,Course Title,Course Type,University,Location,Subject,Beginning,Tuition Fee,Language,Duration,Link
89,Master of Science in Geoinformatics,Master's degree,Trier University,Trier,"Mathematics, Natural Sciences in general","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6304/
90,Master of Science in Artificial Intelligence and Machine Learning,Master's degree,Technical University of Darmstadt,Darmstadt,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4258/
91,"Mathematical Modelling, Simulation and Optimisation (MSc)",Master's degree,University of Koblenz,Koblenz,Mathematics,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4579/
92,Entrepreneurship and Digital Transformation,Master's degree,Hochschule München University of Applied Sciences,München,Business and Economics,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6972/
93,Internet of Things (IoT) and Smart Systems,Master's degree,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Zwickau,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8382/
94,Master's in Business Analytics & Econometrics – Master of Science,Master's degree,University of Cologne,Köln,Business and Economics,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8423/
95,"Artificial Intelligence for Industrial Applications, (MSc) full-time",Master's degree,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Amberg,Computer Science,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8977/
96,"Design and Interaction, MA",Master's degree,Rhine-Waal University of Applied Sciences,Kamp-Lintfort,Design,Summer semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4489/
97,Artificial Intelligence,Master's degree,Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8322/
98,"Master of Science in Geodesy and Geoinformatics, Specialisation Hydrography",Master's degree,HafenCity University Hamburg,Hamburg,Surveying,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4254/
99,Digital Engineering,Master's degree,Bauhaus-Universität Weimar,Weimar,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8265/
100,Information and Communication Technology MSc,Master's degree,FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6146/
101,Information and Communication Systems,Master's degree,Hamburg University of Technology,Hamburg,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3747/
102,User Experience Design,Master's degree,Technische Hochschule Ingolstadt,Ingolstadt,Computer Science,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6140/
103,Master's Degree in Data & Knowledge Engineering (MDKE),Master's degree,Otto von Guericke University Magdeburg,Magdeburg,Computer Science,"Winter semester, Summer semester",none,English,German,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4429/
104,Artificial Intelligence and Robotics (MSc),Master's degree,Hof University of Applied Sciences,Hof,Computer Science,Summer semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8518/
105,Global Software Development (MSc),Master's degree,Fulda University of Applied Sciences,Fulda,Computer Science,"Winter semester, Summer semester",none,English,"3 semesters, 4 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3686/
106,Master's in Digital Transformation (MDT),Master's degree,Dortmund University of Applied Sciences and Arts,Dortmund,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4879/
107,Digital Technologies (MSc),Master's degree,Ostfalia University of Applied Sciences - Hochschule Braunschweig/Wolfenbüttel,Wolfenbüttel,Computer Science,Winter semester,none,German,English,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8902/
108,Embedded Systems Design,Master's degree,Bremerhaven University of Applied Sciences,Bremerhaven,Electrical Engineering,Summer semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4399/
109,Autonomous Driving,Master's degree,Coburg University of Applied Sciences and Arts,Kronach,Engineering in general,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9016/
110,Digital Games (Master of Arts),Master's degree,TH Köln (University of Applied Sciences),Köln,Design,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5217/
111,Interactive Media Systems,Master's degree,Augsburg Technical University of Applied Sciences,Augsburg,Design,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6968/
112,MA International Management & Information Systems (IMIS),Master's degree,South Westphalia University of Applied Sciences,Soest,Business and Economics,Summer semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4411/
113,Master's in Embedded Systems Engineering (ESE),Master's degree,Dortmund University of Applied Sciences and Arts,Dortmund,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4513/
114,"Usability Engineering, MSc",Master's degree,Rhine-Waal University of Applied Sciences,Kamp-Lintfort,Computer Science,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4225/
115,Geomatics,Master's degree,Neubrandenburg University of Applied Sciences,Neubrandenburg,Surveying,Summer semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4750/
116,Artificial Intelligence (MSc),Master's degree,Technical University of Applied Sciences Würzburg-Schweinfurt (THWS),Würzburg,Computer Science,Summer semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7852/
117,"Artificial Intelligence (AI), MSc",Master's degree,FAU Erlangen-Nürnberg,Erlangen,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7657/
118,Automotive Software Engineering,Master's degree,Chemnitz University of Technology,Chemnitz,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4122/
119,Data Analytics (MSc),Master's degree,University of Hildesheim,Hildesheim,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5561/
120,Data Engineering and Analytics (MSc),Master's degree,Technical University Munich,Garching b. München,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4713/
121,E-Government (MSc),Master's degree,University of Koblenz,Koblenz,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6924/
122,Informatics: Games Engineering (MSc),Master's degree,Technical University Munich,Garching b. München,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4517/
123,Intelligent Systems,Master's degree,Bielefeld University,Bielefeld,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4317/
124,International Master's Programme in Distributed Systems Engineering (DSE),Master's degree,Technische Universität Dresden,Dresden,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3803/
125,IT Security (MA),Master's degree,Universität zu Lübeck,Lübeck,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9072/
126,Media Informatics,Master's degree,RWTH Aachen University,Bonn,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3728/
127,Software Engineering (MSc),Master's degree,University of Hildesheim,Hildesheim,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8417/
128,Web Engineering,Master's degree,Chemnitz University of Technology,Chemnitz,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4655/
129,Automation & IT (Master of Engineering),Master's degree,TH Köln (University of Applied Sciences),Köln,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3961/
130,Expanded Media,Master's degree,Darmstadt University of Applied Sciences,Dieburg,"Performing Arts, Film and Television, Drama","Winter semester, Summer semester",none,English,"3 semesters, 4 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4677/
131,MA Animation and Game Direction,Master's degree,Darmstadt University of Applied Sciences,Dieburg,Design,"Winter semester, Summer semester",none,English,"3 semesters, 4 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6274/
132,Information Technology,Master's degree,OWL University of Applied Sciences and Arts,Lemgo,Computer Science,"Winter semester, Summer semester",none,English,"4 semesters, 8 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3632/
133,MSc Systems Engineering & Engineering Management,Master's degree,South Westphalia University of Applied Sciences,Soest,Electrical Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4062/
134,Operations Research and Business Analytics (ORBA),Master's degree,Otto von Guericke University Magdeburg,Magdeburg,Business and Economics,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4777/
135,Master's in Industrial Informatics – Specialisation Industrial Cyber-Physical Systems,Master's degree,Hochschule Emden/Leer - University of Applied Sciences,Emden,Computer Science,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4775/
136,AI Engineering of Autonomous Systems,Master's degree,Technische Hochschule Ingolstadt,Ingolstadt,Electrical Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8922/
137,Artificial Intelligence,Master's degree,Universität zu Lübeck,Lübeck,Computer Science,"Winter semester, Summer semester",none,English,6 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9003/
138,"Behaviour: From Neural Mechanisms to Evolution, MSc",Master's degree,Bielefeld University,Bielefeld,Biology,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3958/
139,Bioinformatics,Master's degree,University of Potsdam,Potsdam,Biology,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5373/
140,Business Intelligence and Process Management (MSc),Master's degree,Hochschule für Wirtschaft und Recht Berlin,Berlin,Business and Economics,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4529/
141,Cognitive Systems (MSc),Master's degree,University of Hildesheim,Hildesheim,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8443/
142,Cyber Security,Master's degree,Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4785/
143,Digital Media,Master's degree,University of Bremen,Bremen,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3844/
144,Digitalised Energy Systems,Master's degree,Carl von Ossietzky University of Oldenburg,Oldenburg,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8944/
145,Electrical Communication Engineering (MSc),Master's degree,University of Kassel,Kassel,Electrical Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3759/
146,Embedded Systems,Master's degree,Chemnitz University of Technology,Chemnitz,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4493/
147,Engineering of Socio-Technical Systems,Master's degree,Carl von Ossietzky University of Oldenburg,Oldenburg,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7040/
148,Immunobiology: From Molecules to Integrative Systems,Master's degree,University of Bonn,Bonn,Biology,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6257/
149,Information and Communication Systems,Master's degree,Chemnitz University of Technology,Chemnitz,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4269/
150,Research in Media Engineering MSc Programme,Master's degree,Technische Universität Ilmenau,Ilmenau,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4147/
151,Autonomous Systems (MSc),Master's degree,Hochschule Bonn-Rhein-Sieg,Sankt Augustin,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3799/
152,Business Informatics (MSc),Master's degree,Philipps-Universität Marburg,Marburg,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9043/
153,Finance and Information Management (FIM),Master's degree,Technical University Munich,München,Business and Economics,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7650/
154,MSc Digital Health,Master's degree,Deggendorf Institute of Technology,Pfarrkirchen,Computer Science,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4600/
155,"Cognitive Systems: Language, Learning, and Reasoning",Master's degree,University of Potsdam,Potsdam,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6262/
156,Communications and Multimedia Engineering (CME),Master's degree,FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4261/
157,Communications Engineering – Master's Study Programme,Master's degree,RWTH Aachen University,Aachen,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3698/
158,Electrical Engineering (EE),Master's degree,University of Rostock,Rostock,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4594/
159,Medical Engineering – Branches of Study: Medical Image and Data Processing | Health and Medical Data Analytics & Entrepreneurship | Medical Robotics,Master's degree,FAU Erlangen-Nürnberg,Erlangen,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4407/
160,Medical Systems Engineering (MSE),Master's degree,Otto von Guericke University Magdeburg,Magdeburg,Electrical Engineering,Summer semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6905/
161,MSc in Cognitive Neuroscience (MCNB),Master's degree,Freie Universität Berlin,Berlin,Psychology,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7696/
162,Advanced Signal Processing and Communications Engineering MSc,Master's degree,FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4661/
163,"Applied AI for Digital Production Management, MEng",Master's degree,Deggendorf Institute of Technology,Cham,Industrial Engineering,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9024/
164,MSc Advanced Optical Technologies (MAOT),Master's degree,FAU Erlangen-Nürnberg,Erlangen,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4046/
165,MSc in Marine Microbiology (MarMic),Master's degree,Max Planck Institute for Marine Microbiology,Bremen,Biology,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3874/
166,Natural Hazards and Risks in Structural Engineering (NHRE),Master's degree,Bauhaus-Universität Weimar,Weimar,Civil Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3612/
167,Master of Digital Entrepreneurship,Master's degree,European University Viadrina,Frankfurt (Oder),"Law, Economics and Social Sciences in general",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7648/
168,International Automotive Engineering (MEng),Master's degree,Technische Hochschule Ingolstadt,Ingolstadt,Electrical Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6092/
169,Mechatronics,Master's degree,University of Siegen,Siegen,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3782/
170,MSc Autonomy Technologies,Master's degree,FAU Erlangen-Nürnberg,Erlangen,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8925/
171,Agricultural Biosciences,Master's degree,Technical University Munich,Freising,"Agriculture, Forestry and Nutritional Sciences in general",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6527/
172,Forest Information Technology (FIT),Master's degree,Eberswalde University for Sustainable Development,Eberswalde,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3724/
173,International Master's Programme in Geophysics,Master's degree,Ludwig-Maximilians-Universität München,München,Earth Sciences (excluding Geography),Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4104/
174,Satellite Technology – Advanced Space Systems (SaTec),Master's degree,Julius-Maximilians-Universität Würzburg,Würzburg,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6981/
175,Solar System Physics (SSP),Master's degree,Technische Universität Braunschweig,Braunschweig,"Physics, Astronomy","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8965/
176,MEng Artificial Intelligence for Smart Sensors and Actuators,Master's degree,Deggendorf Institute of Technology,Cham,Engineering in general,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7691/
